ï»¿AnoExercicio,MesAbreviado,NomeOrgao,CNPJOrgao,TipoAdministracao,TipoPoder,ReceitaPrevistaAtualizada,NaturezaReceita,ReceitaRealizada,Ano,MesNumero,MesNome,MesAno_Num,MesAno_Extenso,AnoMes
2014,Jan,FUNDO SOCIAL DE LOTERIA,4354889000166.0,Direta,Executivo,29840416.67,ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA,123456.78,2014,1,Janeiro,01/2014,Janeiro/2014,01/2014
2014,Jan,PROTEGE GOIAS,6084202000145.0,Direta,Executivo,29840416.67,ADICIONAL ICMS - FUNDO ESTADUAL DE COMBATE A POBREZA,26710912.46,2014,1,Janeiro,01/2014,Janeiro/2014,01/2014
2014,Jan,ESTADO DE GOIAS,12345678000199,Autárquica,Executivo,34422000.0,ALIENACAO DE BENS,123456.78,2014,1,Janeiro,01/2014,Janeiro/2014,01/2014
2014,Jan,ESTADO DE GOIAS - FUNDOS ESPECIAIS,12345678000199,Autárquica,Executivo,251916.66,ALIENACAO DE BENS,123456.78,2014,1,Janeiro,01/2014,Janeiro/2014,01/2014
2014,Jan,ESTADO DE GOIAS - PODER EXECUTIVO,12345678000199,Autárquica,Executivo,34421000.0,ALIENACAO DE BENS,123456.78,2014,1,Janeiro,01/2014,Janeiro/2014,01/2014
2014,Jan,ESTADO DE GOIAS-ADMINISTRACAO INDIRETA,12345678000199,Autárquica,Executivo,166.66,ALIENACAO DE BENS IMOVEIS,123456.78,2014,1,Janeiro,01/2014,Janeiro/2014,01/2014
2014,Jan,UNIVERSIDADE ESTADUAL DE GOIAS,1112580000171.0,Indireta,Executivo,83.33,ALIENACAO DE BENS IMOVEIS,123456.78,2014,1,Janeiro,01/2014,Janeiro/2014,01/2014
2014,Jan,ESTADO DE GOIAS - ADMINISTRACAO DIRETA,12345678000199,Autárquica,Executivo,250.0,ALIENACAO DE BENS MOVEIS,123456.78,2014,1,Janeiro,01/2014,Janeiro/2014,01/2014
2014,Jan,FUNDO CAP. SERV. E MOD. - FUNCAM,13301077000143.0,Direta,Executivo,238833.33,ALIENACAO DE BENS MOVEIS,123456.78,2014,1,Janeiro,01/2014,Janeiro/2014,01/2014
2014,Jan,FUNDO ESTADUAL DE DESENVOL.DO NORDESTE,4916251000171.0,Direta,Executivo,238833.33,ALIENACAO DE BENS MOVEIS,123456.78,2014,1,Janeiro,01/2014,Janeiro/2014,01/2014
2014,Jan,FUNDO DE FOM. AO DESENV. ECON.E SOCIAL,3280530000129.0,Direta,Executivo,16333.32,ALIENACAO DE IMOVEIS RURAIS,123456.78,2014,1,Janeiro,01/2014,Janeiro/2014,01/2014
2014,Jan,ESTADO DE GOIAS,12345678000199,Autárquica,Executivo,23254166.67,ALIENACAO DE IMOVEIS URBANOS,123456.78,2014,1,Janeiro,01/2014,Janeiro/2014,01/2014
2014,Jan,ESTADO DE GOIAS - PODER EXECUTIVO,12345678000199,Autárquica,Executivo,23254166.67,ALIENACAO DE IMOVEIS URBANOS,123456.78,2014,1,Janeiro,01/2014,Janeiro/2014,01/2014
2014,Jan,ESTADO DE GOIAS - TESOURO ESTADUAL,1409655000180.0,Autárquica,Executivo,23249916.67,ALIENACAO DE IMOVEIS URBANOS,123456.78,2014,1,Janeiro,01/2014,Janeiro/2014,01/2014
2014,Jan,EMATER,13232306000115.0,Indireta,Executivo,83.33,ALIENACAO DE OUTROS BENS IMOVEIS,123456.78,2014,1,Janeiro,01/2014,Janeiro/2014,01/2014
2014,Jan,ESTADO DE GOIAS,12345678000199,Autárquica,Executivo,83.33,ALIENACAO DE OUTROS BENS IMOVEIS,123456.78,2014,1,Janeiro,01/2014,Janeiro/2014,01/2014
2014,Jan,ESTADO DE GOIAS - PODER EXECUTIVO,12345678000199,Autárquica,Executivo,83.33,ALIENACAO DE OUTROS BENS IMOVEIS,123456.78,2014,1,Janeiro,01/2014,Janeiro/2014,01/2014
2014,Jan,ESTADO DE GOIAS-ADMINISTRACAO INDIRETA,12345678000199,Autárquica,Executivo,83.33,ALIENACAO DE OUTROS BENS IMOVEIS,123456.78,2014,1,Janeiro,01/2014,Janeiro/2014,01/2014
2014,Jan,ESTADO DE GOIAS,12345678000199,Autárquica,Executivo,493833.32,ALIENACAO DE OUTROS BENS MOVEIS,123456.78,2014,1,Janeiro,01/2014,Janeiro/2014,01/2014
2014,Jan,FUNDO DE FOM. AO DESENV. ECON.E SOCIAL,3280530000129.0,Direta,Executivo,,ALIENACAO DE OUTROS BENS MOVEIS,123456.78,2014,1,Janeiro,01/2014,Janeiro/2014,01/2014
